,service,qnt,cnt
622,Netflix,Lekh Tandon,3
621,Netflix,Cosima Spender,3
620,Prime,Joseph Novoa,3
619,Prime,Shûsuke Kaneko,3
618,Prime,Rituparno Ghosh,3
617,Prime,Joseph H. Lewis,3
616,Prime,Sidney J. Furie,3
615,Netflix,Christopher Nolen,3
614,Prime,PBS,3
613,Prime,Jonas Åkerlund,3
611,Prime,Pa. Ranjith,3
610,Prime,Pa.Ranjith,3
609,Prime,Paolo Barzman,3
608,Netflix,Chris Weitz,3
607,Netflix,Latif Faiziyev,3
606,Prime,Jordan Hill,3
605,Netflix,Leena Yadav,3
604,Netflix,Leigh Janiak,3
603,Prime,Jorge Montesi,3
602,Netflix,Charles Stone III,3
574,Prime,Michael Polish,3
612,Netflix,Adrian Teh,3
572,Netflix,Ethan Coen,3
546,Netflix,David Michôd,3
544,Netflix,Jeff Baena,3
543,Netflix,Jeff Nichols,3
542,Prime,Liu Chia-liang,3
541,Prime,Savvas D. Michael,3
540,Prime,Letia Clouston,3
539,Netflix,Jerry Rothwell,3
538,Netflix,David R. Ellis,3
537,Prime,Lee Tamahori,3
536,Prime,Maneesh Sharma,3
535,Netflix,Israel Adrián Caetano,3
534,Prime,S. P. Muthuraman,3
533,Prime,Martin Campbell,3
532,Netflix,Drake Doremus,3
531,Netflix,Hardik Mehta,3
529,Prime,Mark Polonia,3
