,service,qnt,cnt
283,Netflix,Johnny Yong Bosch,12
301,Netflix,Anton Yelchin,12
300,Netflix,Junko Takeuchi,12
314,Netflix,Britt McKillip,12
302,Disney,Russi Taylor,12
303,Netflix,Halle Berry,12
281,Prime,Anushka Shetty,12
320,Netflix,Adam Scott,12
319,Netflix,Justin Long,12
318,Netflix,Paul Giamatti,12
317,Netflix,Eddie Murphy,12
316,Netflix,Danny McBride,12
315,Netflix,Glenn Close,12
313,Netflix,William H. Macy,12
312,Disney,Raven-Symoné,12
311,Netflix,Loretta Devine,12
310,Netflix,Katsuyuki Konishi,12
309,Prime,Eddie Izzard,12
308,Netflix,Jason Schwartzman,12
307,Prime,Anil Kapoor,12
306,Netflix,Raghuvir Yadav,12
305,Netflix,Juhi Chawla,12
304,Netflix,Cate Blanchett,12
282,Netflix,Andy Samberg,12
252,Netflix,Minako Kotobuki,12
280,Netflix,Patton Oswalt,12
259,Netflix,John Leguizamo,12
257,Netflix,Jack Black,12
256,Netflix,Satoshi Hino,12
255,Netflix,Stephen Fry,12
254,Netflix,John Malkovich,12
253,Netflix,Houko Kuwashima,12
240,Netflix,Stephanie Sheh,12
251,Netflix,Harrison Ford,12
250,Prime,Soori,12
249,Netflix,Sayaka Ohara,12
247,Netflix,Steve Buscemi,12
246,Netflix,Robert De Niro,12
245,Netflix,Jeff Dunham,12
244,Netflix,John Dunsworth,12
243,Netflix,Robert Pattinson,12
242,Netflix,Robert Patrick,12
241,Netflix,Jacki Weaver,12
279,Netflix,Kathryn Hahn,12
258,Prime,Santhanam,12
248,Prime,Nicolas Cage,12
260,Netflix,Nobuhiko Okamoto,12
270,Netflix,Dermot Mulroney,12
278,Netflix,Javed Sheikh,12
261,Netflix,Kazuya Nakai,12
277,Netflix,George Clooney,12
276,Netflix,Elyse Maloway,12
275,Netflix,Rie Kugimiya,12
273,Netflix,Nick Swardson,12
272,Netflix,Rikiya Koyama,12
271,Netflix,Saurabh Shukla,12
274,Netflix,Naomi Watts,12
268,Netflix,Ben Mendelsohn,12
267,Netflix,Paul Dobson,12
266,Prime,Bruce Willis,12
265,Netflix,America Young,12
264,Netflix,Vidya Balan,12
269,Netflix,Will Smith,12
263,Netflix,John Michael Higgins,12
262,Netflix,Jimmy Shergill,12
398,Netflix,Steve Coogan,11
393,Netflix,Cedric the Entertainer,11
389,Netflix,Sabina Malik,11
390,Netflix,Tracy Morgan,11
391,Netflix,Peter Facinelli,11
396,Netflix,Kevin James,11
394,Prime,Karunas,11
395,Netflix,Denzel Washington,11
397,Netflix,Steve Zahn,11
387,Netflix,Daisuke Namikawa,11
388,Netflix,Aoi Yuki,11
378,Netflix,Tony Todd,11
386,Netflix,Harvey Keitel,11
385,Prime,Gary Cooper,11
384,Netflix,Michael Shannon,11
383,Netflix,Kathryn Bernardo,11
382,Netflix,Terry Crews,11
381,Netflix,Sylvester Stallone,11
380,Netflix,Alison Brie,11
379,Netflix,Divya Dutta,11
377,Netflix,Carla Gugino,11
376,Netflix,Paul Rudd,11
375,Netflix,Alok Nath,11
400,Netflix,Konkona Sen Sharma,11
399,Netflix,Nicole Oliver,11
419,Prime,Peter Stormare,11
401,Netflix,Arjun Rampal,11
402,Netflix,Sunil Shetty,11
425,Netflix,Mike Smith,11
424,Netflix,Will Forte,11
423,Netflix,Johny Lever,11
422,Netflix,Manisha Koirala,11
421,Prime,Kris Kristofferson,11
420,Netflix,Nicole Anthony,11
373,Prime,Madhavan,11
418,Netflix,Matt Damon,11
417,Netflix,Michael Madsen,11
416,Netflix,Meryl Streep,11
415,Prime,Aaron Michael,11
414,Netflix,Rani Mukerji,11
413,Netflix,Abhay Deol,11
412,Netflix,Emile Hirsch,11
411,Netflix,Julianne Moore,11
410,Netflix,Jigna Bharadhwaj,11
409,Prime,John Abraham,11
408,Netflix,Elizabeth Banks,11
407,Netflix,Jessica Chastain,11
406,Disney,Winston Hibler,11
405,Netflix,Kenta Miyake,11
404,Netflix,Christopher Lee,11
403,Disney,Anthony Daniels,11
374,Netflix,Dalip Tahil,11
392,Netflix,Jay Baruchel,11
372,Netflix,Kathy Bates,11
345,Netflix,Jane Krakowski,11
343,Netflix,B.N. Sharma,11
342,Netflix,Don Cheadle,11
341,Netflix,Sam Shepard,11
340,Netflix,Stephen Lang,11
339,Netflix,Ben Stiller,11
338,Netflix,Bobby Cannavale,11
337,Netflix,Megumi Han,11
336,Prime,Shah Rukh Khan,11
335,Netflix,Gary Oldman,11
334,Netflix,Keith Wickham,11
333,Prime,Paresh Rawal,11
332,Netflix,Gary Cole,11
331,Netflix,Tay Ping Hui,11
330,Netflix,Danny Glover,11
329,Prime,Stevin John,11
328,Disney,Tony Anselmo,11
326,Netflix,Amber Heard,11
325,Netflix,Michael Jai White,11
